X (m),Y (m),Z (m),DX
-0.004819727,0.08807554,0.43167018,-4.08E-05
-0.004819728,0.119659442,0.381225241,3.87E-05
-0.004825727,0.127170319,0.184409396,4.64E-05
-0.004876949,0.119149995,0.163930712,8.76E-05
-0.004920567,0.119095517,0.417586863,-2.85E-05
-0.004948764,0.158088046,0.180458866,6.17E-05
-0.004977388,0.158013952,0.175836938,6.67E-05
-0.004979547,0.080315211,0.157154154,9.82E-05
-0.005033215,0.150115216,0.389638533,1.08E-05
-0.005099186,0.072632764,0.437305316,-4.14E-05
-0.005125996,0.095830168,0.431734948,-4.05E-05
-0.005155063,0.111333106,0.424948663,-3.53E-05
-0.005165926,0.142386498,0.402706053,-9.82E-06
-0.005192637,0.134616515,0.410094365,-1.92E-05
-0.005199232,0.13488869,0.184549897,4.63E-05
-0.005250623,0.150213266,0.170415141,7.75E-05
-0.00525093,0.126915879,0.164003777,8.50E-05
-0.005255927,0.150124716,0.384595231,2.46E-05
-0.00525628,0.088085543,0.157104719,9.73E-05
-0.005260264,0.150135282,0.395630566,-1.61E-06
-0.005262023,0.127481567,0.381075588,3.67E-05
-0.00528304,0.003266904,0.441943235,-3.06E-05
-0.005322628,0.126851135,0.41759624,-2.76E-05
-0.005393356,0.080451375,0.437478063,-4.15E-05
-0.005414352,0.01038129,0.442092314,-3.61E-05
-0.005415819,0.134879906,0.381158535,3.03E-05
-0.005454668,0.026002348,0.442161306,-3.58E-05
-0.005456784,0.165759672,0.175871901,6.84E-05
-0.005459578,0.103583114,0.431772656,-3.96E-05
-0.005471437,0.018194513,0.441993708,-3.70E-05
-0.005479845,0.165856864,0.180663127,6.69E-05
-0.005527625,0.157906543,0.389461109,9.64E-06
-0.005536963,0.119094433,0.424907061,-3.41E-05
-0.005546816,0.142665274,0.18465455,4.46E-05
-0.005557146,0.095868607,0.15705299,9.87E-05
-0.005569326,0.041404719,0.44185642,-3.15E-05
-0.005582941,0.033650021,0.442285135,-3.31E-05
