X,Y,Z,Cp,Normal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.337729,0.39825,0.846939,-0.040235,-0.629622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.308627,0.30975,0.844841,-0.041165,-0.651715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.293548,0.57525,0.734978,-0.032826,-0.693653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.290127,0.22125,0.846974,-0.040782,-0.667238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.282433,0.66375,0.734604,-0.062582,-0.630521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.275245,0.13275,0.846113,-0.040667,-0.636041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.269001,0.04425,0.846453,-0.044329,-0.550196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.252343,0.48675,0.733558,-0.039827,-0.745492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.252341,0.75225,0.623885,-0.176556,-0.716984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.226384,0.39825,0.734006,-0.037496,-0.765333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.208485,0.30975,0.737769,-0.032568,-0.790155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.202707,0.75225,0.516833,-0.105802,-0.868171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.195775,0.66375,0.622241,-0.096563,-0.75557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.192777,0.22125,0.738337,-0.027038,-0.802187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.184588,0.75225,0.401893,-0.104767,-0.890019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.18377,0.48675,0.624843,-0.03184,-0.870967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.183635,0.75225,0.294691,-0.132037,-0.89272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.178688,0.13275,0.73461,-0.023029,-0.81552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.172093,0.04425,0.733724,-0.020337,-0.827285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.158838,0.39825,0.624492,-0.035719,-0.906428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.154641,0.66375,0.516941,-0.101248,-0.846234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.151096,0.57525,0.632865,-0.07386,-0.897363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.147514,0.39825,0.520954,-0.034054,-0.973247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.141573,0.30975,0.624455,-0.029491,-0.911027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.138666,0.66375,0.294677,-0.081216,-0.878442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
