H1,H2,H3,H4,H5,H6,R1,R2,R3,R4,R5,R6
0,0,0,0,7.33788,4.08096,-0.0312145,0.053876,-0.7584265,0.003474919,0.150455245,-0.121598724
0,0,0,0,8.82746964,4.90939488,-0.0210205,0.067129,-0.9144415,0.004590026,0.182171754,-0.14557634
0,0,0,0,10.28770776,5.71742496,-0.0093995,0.077957,-1.0673665,0.004730167,0.213974283,-0.169655564
0,0,0,0,11.740608,6.529536,0.0080065,0.088491,-1.2221495,0.005516912,0.24528949,-0.193939564
0,0,0,0,11.00682,6.12552096,-0.0005195,0.081776,-1.1429295,0.004989001,0.229963344,-0.182457756
0,0,0,0,9.539244,5.31340992,-0.0122175,0.069439,-0.9911955,0.004200088,0.198817372,-0.158239276
0,0,0,0,8.12303316,4.52170368,-0.0243705,0.057981,-0.8457885,0.005401714,0.167400063,-0.135063604
0,0,0,0,6.604092,3.672864,-0.0328825,0.047911,-0.6835855,0.003647234,0.135536198,-0.109987124
0,0,0,0,5.15119176,2.856672,-0.0329675,0.037598,-0.5312035,0.002820845,0.10555,-0.085656428
0,0,0,0,3.66894,2.04048,-0.0234995,0.025822,-0.3719145,0.002296911,0.075676937,-0.06093438
0,0,0,0,2.201364,1.22020704,-0.0120655,0.014246,-0.2183955,0.001856363,0.04616254,-0.03639558
0,0,0,0,0.733788,0.408096,-0.0015925,0.003106,-0.0766455,0.000116102,0.01470727,-0.012891268
